judul,isi,label
Vaksin bisa ubah DNA manusia,Seorang tokoh mengatakan vaksin COVID-19 bisa mengubah DNA manusia secara permanen,hoax
Mata uang digital buatan alien,Pesan viral menyebut mata uang kripto berasal dari teknologi alien,hoax
Pemerintah umumkan Bansos,Pemerintah resmi mencairkan bantuan sosial tahap kedua kepada warga terdampak pandemi,asli
Sekolah gratis mulai berlaku,Pemerintah umumkan bahwa pendidikan dasar kini digratiskan di seluruh Indonesia,asli
Minum air lemon sembuhkan COVID,Pesan berantai menyatakan minum air lemon dapat menyembuhkan COVID-19,hoax
WHO cabut status pandemi,WHO menyatakan bahwa COVID-19 bukan lagi menjadi status darurat kesehatan global,asli
Chip tertanam dalam vaksin,Ceritanya vaksin COVID mengandung chip untuk melacak manusia,hoax
BLT disalurkan langsung,Pemerintah kembali menyalurkan bantuan langsung tunai untuk masyarakat kurang mampu,asli
5G sebabkan COVID,Tulisan viral menyebutkan bahwa teknologi 5G jadi penyebab COVID-19 menyebar,hoax
Ekonomi tumbuh positif,Badan Pusat Statistik umumkan pertumbuhan ekonomi Indonesia meningkat,asli
Cuci tangan sebabkan kanker,Pesan grup WhatsApp menyebut sabun cuci tangan mengandung zat penyebab kanker,hoax
Pemerintah bangun rumah sakit,Pemerintah membuka rumah sakit baru di daerah terpencil untuk tingkatkan layanan,asli
Makanan kaleng mengandung virus,Info hoaks menyebut virus corona bertahan di makanan kaleng bertahun-tahun,hoax
Harga BBM turun minggu depan,Pemerintah umumkan penurunan harga BBM subsidi mulai pekan depan,asli
Vaksin bisa bikin mandul,Pesan viral menyebut vaksin menyebabkan kemandulan jangka panjang,hoax
Program beasiswa diluncurkan,Kementerian Pendidikan meluncurkan program beasiswa untuk mahasiswa daerah 3T,asli
Corona buatan manusia,Teori konspirasi menyebut virus corona dibuat di laboratorium sebagai senjata biologis,hoax
Pembangunan jalan tol baru,Pemerintah mulai pembangunan tol baru untuk konektivitas antarprovinsi,asli
Makan telur mentah cegah COVID,Hoaks menyebut konsumsi telur mentah bisa melindungi dari virus corona,hoax
Guru honorer diangkat jadi PNS,Pemerintah angkat ribuan guru honorer menjadi PNS tahun ini,asli
Ibu hamil tidak boleh vaksin,Pesan keliru menyatakan vaksin COVID-19 berbahaya bagi ibu hamil,hoax
Pelajar peraih emas di olimpiade,Siswa Indonesia meraih emas dalam Olimpiade Fisika Internasional,asli
Bulan terbelah dua disaksikan warga,Pemberitaan palsu menyebut warga melihat bulan terbelah dua,hoax
Pasar rakyat ditata ulang,Dinas pasar melakukan revitalisasi pasar tradisional agar lebih modern,asli
Kemoterapi hanya bisnis farmasi,Hoaks menyebut kemoterapi tidak berguna dan hanya untuk keuntungan perusahaan,hoax
Vaksinasi massal dilakukan di stadion,Ribuan orang mengikuti vaksinasi massal di stadion utama GBK,asli
Bill Gates racuni vaksin,Hoaks menyebut vaksin COVID-19 sebagai alat Bill Gates untuk mengurangi populasi,hoax
Kartu prakerja dibuka lagi,Gelombang baru program kartu prakerja resmi dibuka untuk masyarakat,asli
Minyak kayu putih sembuhkan COVID,Pesan berantai menyebut menghirup minyak kayu putih bisa menyembuhkan COVID,hoax
Bendungan terbesar diresmikan hari ini,Pemerintah meresmikan bendungan terbesar di Kalimantan,asli
Teh hangat bunuh virus corona,Hoaks lama menyatakan minum teh panas bisa membunuh virus corona,hoax
Ekspor pertanian meningkat,Kementerian Pertanian umumkan ekspor komoditas hortikultura meningkat 30%,asli
Vaksin menyebabkan autisme,Penyebaran hoaks menyebut vaksin menyebabkan autisme pada anak,hoax
Realisasi APBN 2024 capai target,Kementerian Keuangan umumkan realisasi APBN capai 99%,asli
Sinar matahari jam 12 menyembuhkan COVID,Pesan palsu menyebut jemur diri jam 12 siang bisa sembuhkan COVID-19,hoax
Bandara baru mulai beroperasi,Bandara internasional baru mulai layani penerbangan rute Asia,asli
Cegah kanker dengan bawang putih saja,Pesan viral menyebut makan bawang putih saja cukup cegah semua jenis kanker,hoax
Wisata lokal meningkat,Data BPS tunjukkan peningkatan jumlah wisatawan lokal pascapandemi,asli
Vaksin menyebabkan kematian dalam 2 tahun,Hoaks lama menyebut orang yang divaksin akan mati dalam 2 tahun,hoax
Pertanian organik disubsidi,Pemerintah beri subsidi untuk petani organik demi ketahanan pangan,asli
Minyak goreng plastik berbahaya,Pesan viral menyebut minyak goreng dari plastik bisa memicu kanker,hoax
PLN beri diskon listrik,Pelanggan listrik subsidi mendapat potongan tarif hingga akhir tahun,asli
Hewan peliharaan penyebab COVID,Hoaks menyatakan anjing dan kucing bisa menyebarkan COVID-19,hoax
Kampus negeri terima mahasiswa baru,Kampus ternama umumkan penerimaan mahasiswa baru jalur prestasi,asli
Vitamin C satu-satunya penyembuh COVID,Pesan viral menyebut hanya vitamin C yang bisa sembuhkan COVID,hoax
Pemerintah siapkan KTP digital,Program KTP digital dimulai untuk efisiensi dan keamanan data penduduk,asli
